MICROX 8 v1.1 (© 10/99 by PreSens)	10/24/2000	1:41:51 PM						
3:45:46 AM 2:49:53 PM	40.99	2270	0	23.6	41.37	2571	0	14
3:49:46 AM 2:49:55 PM	41.13	2272	0	22.5	41.36	2577	0	14
3:53:47 AM 2:49:57 PM	40.97	2272	0	23.7	41.52	2575	0	12.9
3:57:49 AM 2:49:59 PM	41.17	2279	0	22.1	41.52	2578	0	12.8
4:01:49 AM 2:50:01 PM	41.12	2268	0	22.5	41.43	2576	0	13.5
4:05:50 AM 2:50:03 PM	41.02	2268	0	23.3	41.39	2578	0	13.8
4:09:51 AM 2:50:05 PM	41	2270	0	23.5	41.48	2580	0	13.2
4:13:52 AM 2:50:07 PM	41.18	2274	0	22	41.41	2579	0	13.7
4:17:53 AM 2:50:09 PM	40.97	2266	0	23.8	41.45	2579	0	13.4
4:21:54 AM 2:50:11 PM	40.87	2270	0	24.6	41.56	2577	0	12.5
4:25:55 AM 2:50:13 PM	41.07	2270	0	22.9	41.55	2576	0	12.6
4:29:56 AM 2:50:15 PM	41.06	2274	0	23	41.7	2581	0	11.5
4:33:57 AM 2:50:17 PM	41.23	2274	0	21.6	41.54	2584	0	12.7
4:37:58 AM 2:50:19 PM	41.27	2276	0	21.3	41.41	2581	0	13.7
4:41:59 AM 2:50:21 PM	41.31	2280	0	21	41.72	2578	0	11.3
4:46:00 AM 2:50:23 PM	41.18	2282	0	22	41.72	2581	0	11.4
4:50:01 AM 2:50:25 PM	41.26	2282	0	21.4	41.69	2586	0	11.5
4:54:02 AM 2:50:27 PM	41.39	2288	0	20.3	41.77	2583	0	10.9
4:58:02 AM 2:50:29 PM	41.44	2289	0	19.9	41.61	2583	0	12.2
5:02:04 AM 2:50:31 PM	41.16	2280	0	22.2	41.73	2598	0	11.3
5:06:04 AM 2:50:33 PM	41.2	2281	0	21.8	41.67	2597	0	11.7
5:10:05 AM 2:50:35 PM	41.49	2289	0	19.5	41.61	2590	0	12.1
5:14:06 AM 2:50:37 PM	41.34	2287	0	20.7	41.81	2588	0	10.7
5:18:07 AM 2:50:39 PM	41.32	2290	0	20.9	41.69	2586	0	11.6
5:22:08 AM 2:50:41 PM	41.44	2292	0	19.9	41.67	2593	0	11.7
5:26:09 AM 2:50:43 PM	41.55	2293	0	19	41.77	2592	0	11
5:30:10 AM 2:50:45 PM	41.48	2287	0	19.6	41.8	2592	0	10.8
5:34:11 AM 2:50:47 PM	41.55	2292	0	19	41.82	2592	0	10.6
5:38:12 AM 2:50:49 PM	41.45	2291	0	19.8	41.84	2595	0	10.5
5:42:13 AM 2:50:51 PM	41.63	2300	0	18.4	41.88	2593	0	10.2
5:46:14 AM 2:50:53 PM	41.55	2296	0	19	41.95	2599	0	9.6
5:50:15 AM 2:50:55 PM	41.58	2298	0	18.8	41.9	2596	0	10
5:54:16 AM 2:50:57 PM	41.6	2298	0	18.6	41.9	2600	0	10
5:58:17 AM 2:50:59 PM	41.41	2292	0	20.1	41.92	2603	0	9.9
6:02:17 AM 2:51:01 PM	41.35	2298	0	20.6	41.92	2606	0	9.9
6:06:19 AM 2:51:03 PM	41.46	2293	0	19.8	41.83	2606	0	10.6
6:10:19 AM 2:51:05 PM	41.49	2307	0	19.6	41.84	2600	0	10.5
6:14:20 AM 2:51:07 PM	41.66	2306	0	18.2	41.9	2606	0	10
6:18:21 AM 2:51:09 PM	41.61	2303	0	18.6	41.85	2607	0	10.4
6:22:22 AM 2:51:11 PM	41.74	2301	0	17.5	41.73	2603	0	11.2
6:26:23 AM 2:51:13 PM	41.78	2306	0	17.2	42.07	2612	0	8.7
6:30:24 AM 2:51:15 PM	41.6	2310	0	18.6	42.1	2611	0	8.5
6:34:25 AM 2:51:17 PM	41.71	2307	0	17.8	42.05	2609	0	8.9
6:38:26 AM 2:51:19 PM	41.63	2309	0	18.4	42.12	2611	0	8.4
6:42:27 AM 2:51:21 PM	41.79	2300	0	17.1	42.11	2613	0	8.5
6:46:28 AM 2:51:23 PM	41.76	2307	0	17.3	42.16	2616	0	8.1
6:50:29 AM 2:51:25 PM	41.77	2310	0	17.3	42.22	2614	0	7.6
6:54:30 AM 2:51:27 PM	41.73	2310	0	17.6	42.16	2614	0	8.1
6:58:31 AM 2:51:29 PM	41.79	2309	0	17.2	42.19	2619	0	7.9
7:02:32 AM 2:51:31 PM	41.79	2312	0	17.1	42.09	2619	0	8.6
7:06:32 AM 2:51:33 PM	41.61	2314	0	18.5	42.16	2618	0	8.1
7:10:34 AM 2:51:35 PM	41.75	2315	0	17.5	42.18	2624	0	7.9
7:14:34 AM 2:51:37 PM	41.8	2312	0	17	42.2	2621	0	7.8
7:18:35 AM 2:51:39 PM	41.79	2318	0	17.2	42.16	2618	0	8.1
7:22:36 AM 2:51:41 PM	41.89	2315	0	16.4	42.16	2619	0	8.1
7:26:37 AM 2:51:43 PM	41.72	2313	0	17.7	42.24	2623	0	7.5
7:30:38 AM 2:51:45 PM	41.84	2319	0	16.7	42.18	2625	0	8
7:34:39 AM 2:51:47 PM	41.84	2321	0	16.7	42.44	2628	0	6.1
7:38:40 AM 2:51:49 PM	41.82	2319	0	16.9	42.46	2632	0	5.9
7:42:41 AM 2:51:51 PM	41.85	2320	4	16.7	42.41	2625	1	6.3
7:46:42 AM 2:51:53 PM	41.94	2318	0	15.9	42.31	2627	0	7
7:50:43 AM 2:51:55 PM	41.94	2313	0	15.9	42.24	2628	0	7.5
7:54:44 AM 2:51:57 PM	41.84	2323	0	16.7	42.29	2630	0	7.1
7:58:45 AM 2:51:59 PM	41.86	2318	0	16.6	42.46	2630	0	5.9
8:02:46 AM 2:52:01 PM	41.73	2318	0	17.6	42.44	2631	0	6.1
8:06:47 AM 2:52:03 PM	42.04	2323	0	15.2	42.46	2630	0	5.9
8:10:47 AM 2:52:05 PM	42.04	2323	0	15.1	42.45	2636	0	6
8:14:49 AM 2:52:07 PM	42.21	2327	0	13.8	42.5	2632	0	5.6
8:18:49 AM 2:52:09 PM	41.94	2327	0	16	42.66	2634	0	4.5
8:22:50 AM 2:52:11 PM	41.86	2328	0	16.6	42.54	2636	0	5.3
8:26:51 AM 2:52:13 PM	42.06	2329	0	15	42.56	2641	0	5.2
8:30:52 AM 2:52:15 PM	42.1	2330	0	14.7	42.42	2636	0	6.2
8:34:53 AM 2:52:17 PM	42.11	2334	0	14.6	42.4	2637	0	6.3
8:38:54 AM 2:52:19 PM	42.08	2330	0	14.9	42.44	2646	0	6.1
8:42:55 AM 2:52:21 PM	42.17	2334	0	14.2	42.56	2641	0	5.2
8:46:56 AM 2:52:23 PM	42.07	2336	0	14.9	42.61	2643	0	4.9
8:50:57 AM 2:52:25 PM	42.14	2338	0	14.4	42.47	2645	0	5.9
8:54:58 AM 2:52:27 PM	42.1	2331	0	14.7	42.62	2643	0	4.8
8:58:59 AM 2:52:29 PM	42.23	2331	0	13.7	42.62	2646	0	4.8
9:03:00 AM 2:52:31 PM	42.22	2331	0	13.7	42.55	2645	0	5.3
9:07:01 AM 2:52:33 PM	42.08	2336	0	14.8	42.51	2643	0	5.6
9:11:02 AM 2:52:35 PM	42.2	2342	0	13.9	42.6	2646	0	4.9
9:15:02 AM 2:52:37 PM	42.32	2331	0	13	42.75	2646	0	3.9
9:19:04 AM 2:52:39 PM	42.1	2343	0	14.7	42.65	2646	0	4.6
9:23:04 AM 2:52:41 PM	42.2	2344	0	13.9	42.54	2648	0	5.4
9:27:05 AM 2:52:43 PM	42.25	2346	0	13.6	42.68	2653	0	4.4
9:31:06 AM 2:52:45 PM	42.22	2349	0	13.8	42.6	2661	0	5
9:35:07 AM 2:52:47 PM	42.06	2346	0	15	42.71	2667	0	4.2
9:39:08 AM 2:52:49 PM	42.26	2347	0	13.5	42.6	2663	0	4.9
9:43:09 AM 2:52:51 PM	42.4	2350	1	12.4	42.59	2670	0	5
9:47:10 AM 2:52:53 PM	42.11	2355	1	14.6	42.71	2679	0	4.1
9:51:11 AM 2:52:55 PM	42.31	2362	0	13.1	42.81	2676	0	3.4
9:55:12 AM 2:52:57 PM	42.37	2361	0	12.6	42.65	2681	0	4.6
9:59:13 AM 2:52:59 PM	42.65	2370	0	10.5	42.69	2685	0	4.3
10:03:14 AM 2:53:01 PM	42.49	2373	3	11.7	42.71	2687	0	4.2
10:07:15 AM 2:53:03 PM	42.58	2372	0	11.1	42.73	2691	0	4
10:11:16 AM 2:53:05 PM	42.4	2371	2	12.4	42.67	2693	0	4.4
10:15:17 AM 2:53:07 PM	42.19	2368	2	14	42.84	2691	0	3.2
10:19:17 AM 2:53:09 PM	42.4	2371	1	12.4	42.73	2697	0	4
10:23:19 AM 2:53:11 PM	42.2	2373	2	14	42.8	2700	0	3.5
10:27:20 AM 2:53:13 PM	42.48	2386	1	11.8	42.77	2698	0	3.7
10:31:20 AM 2:53:15 PM	42.49	2386	1	11.7	42.76	2701	0	3.8
10:35:21 AM 2:53:17 PM	42.47	2386	1	11.9	42.82	2706	0	3.4
10:39:23 AM 2:53:19 PM	42.5	2389	0	11.6	42.8	2704	0	3.5
10:43:23 AM 2:53:21 PM	42.3	2384	1	13.1	42.78	2704	0	3.6
10:47:24 AM 2:53:23 PM	42.34	2386	1	12.8	42.93	2705	0	2.6
10:51:25 AM 2:53:25 PM	42.46	2383	1	11.9	42.81	2707	0	3.4
10:55:26 AM 2:53:27 PM	42.44	2389	1	12	42.75	2706	0	3.9
10:59:27 AM 2:53:29 PM	42.57	2393	0	11.1	42.89	2703	0	2.9
11:03:28 AM 2:53:31 PM	42.44	2392	1	12.1	42.99	2708	0	2.2
11:07:29 AM 2:53:33 PM	42.55	2394	1	11.3	42.8	2706	0	3.5
11:11:30 AM 2:53:35 PM	42.65	2393	0	10.5	42.89	2714	0	2.9
11:15:31 AM 2:53:37 PM	42.57	2393	0	11.1	42.77	2707	0	3.7
11:19:32 AM 2:53:39 PM	42.63	2391	1	10.6	42.89	2717	0	2.9
11:23:33 AM 2:53:41 PM	42.61	2392	0	10.8	42.82	2716	0	3.3
11:27:34 AM 2:53:43 PM	42.64	2398	1	10.5	42.87	2709	0	3
11:31:35 AM 2:53:45 PM	42.69	2402	0	10.2	43.02	2711	0	2
11:35:35 AM 2:53:47 PM	42.69	2399	0	10.2	42.97	2714	0	2.3
11:39:36 AM 2:53:49 PM	42.62	2399	0	10.7	42.81	2716	0	3.5
11:43:38 AM 2:53:51 PM	42.62	2400	1	10.7	42.77	2717	0	3.7
11:47:38 AM 2:53:53 PM	42.57	2400	0	11.1	42.67	2720	0	4.4
11:51:39 AM 2:53:55 PM	42.84	2399	0	9	42.81	2714	0	3.4
11:55:40 AM 2:53:57 PM	42.55	2398	0	11.2	42.92	2717	0	2.7
11:59:41 AM 2:53:59 PM	42.56	2398	2	11.2	42.75	2715	0	3.8
12:03:42 PM 2:54:01 PM	42.73	2400	0	9.9	42.82	2718	0	3.3
12:07:43 PM 2:54:03 PM	42.77	2409	1	9.6	43	2725	0	2.1
12:11:44 PM 2:54:05 PM	42.85	2411	0	8.9	43.01	2717	0	2
12:15:45 PM 2:54:07 PM	42.69	2409	2	10.2	42.87	2720	0	3
12:19:46 PM 2:54:09 PM	42.75	2407	1	9.7	42.88	2720	0	3
12:23:47 PM 2:54:11 PM	42.7	2405	1	10.1	42.8	2723	0	3.5
12:27:48 PM 2:54:13 PM	42.72	2405	2	10	42.82	2723	0	3.4
12:31:49 PM 2:54:15 PM	42.74	2403	2	9.8	42.77	2716	0	3.7
12:35:50 PM 2:54:17 PM	42.84	2410	2	9.1	42.88	2722	0	3
12:39:50 PM 2:54:19 PM	42.67	2406	2	10.3	42.97	2722	0	2.3
12:43:51 PM 2:54:21 PM	42.82	2414	1	9.2	43.05	2723	0	1.8
12:47:53 PM 2:54:23 PM	42.79	2413	0	9.4	42.83	2725	0	3.3
12:51:53 PM 2:54:25 PM	42.68	2406	1	10.3	42.88	2722	0	3
12:55:54 PM 2:54:27 PM	43.03	2417	0	7.6	43	2721	0	2.1
12:59:55 PM 2:54:29 PM	42.9	2420	0	8.6	42.87	2723	0	3
1:03:56 PM 2:54:31 PM	43.04	2417	0	7.5	42.78	2723	0	3.6
1:07:57 PM 2:54:33 PM	42.86	2418	0	8.9	42.75	2725	0	3.9
1:11:58 PM 2:54:35 PM	42.89	2418	0	8.7	42.84	2725	0	3.2
1:15:59 PM 2:54:37 PM	42.83	2418	0	9.2	42.84	2725	0	3.2
1:20:00 PM 2:54:39 PM	42.83	2413	0	9.2	42.81	2727	0	3.4
1:24:01 PM 2:54:41 PM	42.87	2420	0	8.9	42.92	2727	0	2.6
1:28:02 PM 2:54:43 PM	42.95	2420	0	8.2	42.92	2726	0	2.7
1:32:03 PM 2:54:45 PM	43.12	2425	0	7	42.95	2721	0	2.4
1:36:04 PM 2:54:47 PM	43.09	2425	0	7.2	42.67	2720	0	4.5
1:40:05 PM 2:54:49 PM	43.06	2422	0	7.4	42.92	2730	0	2.7
1:44:05 PM 2:54:51 PM	42.87	2419	0	8.9	42.99	2721	0	2.2
1:48:06 PM 2:54:53 PM	42.79	2417	0	9.4	42.92	2734	0	2.7
1:52:08 PM 2:54:55 PM	43.03	2429	0	7.6	42.95	2727	0	2.4
1:56:08 PM 2:54:57 PM	43.01	2426	0	7.8	42.8	2726	0	3.5
2:00:09 PM 2:54:59 PM	43.07	2427	0	7.4	42.91	2728	0	2.7
2:04:10 PM 2:55:01 PM	43.19	2426	0	6.4	42.94	2729	0	2.5
2:08:11 PM 2:55:03 PM	43.03	2422	0	7.7	42.96	2724	0	2.4
2:12:12 PM 2:55:05 PM	42.95	2421	0	8.2	42.73	2726	0	4
2:16:13 PM 2:55:07 PM	43.19	2427	0	6.5	42.97	2723	0	2.3
2:20:14 PM 2:55:09 PM	43.05	2423	0	7.5	42.92	2723	0	2.6
2:24:15 PM 2:55:11 PM	43.13	2420	0	6.9	42.84	2728	0	3.2
2:28:16 PM 2:55:13 PM	43.08	2425	0	7.3	43.06	2728	0	1.7
2:32:17 PM 2:55:15 PM	43.25	2420	0	6.1	42.86	2722	0	3.1
2:36:18 PM 2:55:17 PM	43.1	2425	0	7.2	42.89	2722	0	2.9
2:40:19 PM 2:55:19 PM	43.14	2422	0	6.9	42.89	2723	0	2.9
2:44:20 PM 2:55:21 PM	43.11	2425	0	7.1	42.76	2719	0	3.8
2:48:20 PM 2:55:23 PM	43.36	2430	0	5.3	42.89	2721	0	2.9
2:52:21 PM 2:55:25 PM	43.29	2431	0	5.8	43	2714	0	2.1
2:56:23 PM 2:55:27 PM	43.14	2427	0	6.9	43	2721	0	2.1
3:00:23 PM 2:55:29 PM	43.21	2424	0	6.3	42.81	2713	0	3.5
3:04:24 PM 2:55:31 PM	43.03	2423	0	7.7	42.84	2723	0	3.2
3:08:25 PM 2:55:33 PM	43.33	2430	0	5.5	42.81	2716	0	3.4
3:12:26 PM 2:55:35 PM	43.3	2429	0	5.7	42.97	2720	0	2.3
3:16:27 PM 2:55:37 PM	43.27	2429	0	5.9	42.83	2716	0	3.3
3:20:28 PM 2:55:39 PM	43.22	2422	0	6.3	43.01	2724	0	2
3:24:29 PM 2:55:41 PM	43.2	2425	0	6.4	42.9	2717	0	2.8
3:28:30 PM 2:55:43 PM	43.21	2426	0	6.3	42.83	2711	0	3.3
3:32:31 PM 2:55:45 PM	43.2	2427	0	6.4	42.89	2718	0	2.9
3:36:32 PM 2:55:47 PM	43.21	2424	0	6.3	42.97	2722	0	2.3
3:40:33 PM 2:55:49 PM	43.3	2424	0	5.7	42.87	2713	0	3
3:44:34 PM 2:55:51 PM	43.44	2430	0	4.6	42.88	2715	0	2.9
3:48:35 PM 2:55:53 PM	43.31	2431	0	5.6	43.01	2717	0	2
3:52:36 PM 2:55:55 PM	43.29	2430	0	5.7	42.95	2714	0	2.4
3:56:36 PM 2:55:57 PM	43.49	2432	0	4.3	42.83	2717	0	3.3
4:00:38 PM 2:55:59 PM	43.46	2427	0	4.5	42.97	2717	0	2.3
4:04:38 PM 2:56:01 PM	43.19	2419	0	6.4	42.8	2713	0	3.5
4:08:39 PM 2:56:03 PM	43.36	2422	0	5.3	42.84	2712	0	3.2
4:12:40 PM 2:56:05 PM	43.38	2423	0	5.1	42.8	2711	0	3.5
4:16:41 PM 2:56:07 PM	43.49	2426	0	4.3	42.87	2715	0	3
4:20:42 PM 2:56:09 PM	43.58	2430	0	3.7	42.87	2708	0	3
4:24:43 PM 2:56:11 PM	43.59	2427	3	3.5	42.87	2708	2	3
4:28:44 PM 2:56:13 PM	43.42	2433	6	4.8	31.35	2071	5	119.2
4:32:45 PM 2:56:15 PM	43.61	2429	0	3.4	32.7	2159	0	100.4
4:36:46 PM 2:56:17 PM	43.55	2424	0	3.9	32.89	2172	0	97.9
4:40:47 PM 2:56:19 PM	43.57	2430	0	3.7	33.1	2166	0	95.2
4:44:48 PM 2:56:21 PM	43.58	2425	0	3.6	32.89	2174	0	97.9
4:48:49 PM 2:56:23 PM	43.54	2419	0	3.9	32.86	2168	0	98.4
4:52:50 PM 2:56:25 PM	43.62	2422	0	3.3	32.9	2169	0	97.7
4:56:51 PM 2:56:27 PM	43.26	2413	0	6	33.08	2164	0	95.5
5:00:51 PM 2:56:29 PM	43.34	2415	0	5.4	32.8	2166	0	99.1
5:04:53 PM 2:56:31 PM	43.47	2418	0	4.4	32.96	2160	0	97.1
5:08:53 PM 2:56:33 PM	43.56	2421	0	3.8	32.87	2164	0	98.2
5:12:54 PM 2:56:35 PM	43.63	2414	0	3.2	32.99	2161	0	96.6
5:16:55 PM 2:56:37 PM	43.48	2417	0	4.4	33.05	2162	0	95.9
5:20:56 PM 2:56:39 PM	43.52	2413	0	4.1	33.03	2159	0	96.1
5:24:57 PM 2:56:41 PM	43.75	2416	0	2.4	32.86	2153	0	98.4
5:28:58 PM 2:56:43 PM	43.59	2413	0	3.6	32.93	2155	0	97.4
5:32:59 PM 2:56:45 PM	43.68	2420	4	2.9	32.94	2154	1	97.2
5:37:00 PM 2:56:47 PM	43.55	2411	5	3.9	32.96	2153	2	97
5:41:01 PM 2:56:49 PM	43.7	2348	6	2.8	32.96	2152	2	97
